2026-04-02 11:21:39,563 INFO    MainThread:7140 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-04-02 11:21:39,564 INFO    MainThread:7140 [wandb_setup.py:_flush():81] Configure stats pid to 7140
2026-04-02 11:21:39,564 INFO    MainThread:7140 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-04-02 11:21:39,564 INFO    MainThread:7140 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/maianhpham/Documents/adenoid_segmentation/wandb/run-20260402_112139-meiirgvl/logs/debug.log
2026-04-02 11:21:39,564 INFO    MainThread:7140 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/maianhpham/Documents/adenoid_segmentation/wandb/run-20260402_112139-meiirgvl/logs/debug-internal.log
2026-04-02 11:21:39,564 INFO    MainThread:7140 [wandb_init.py:init():844] calling init triggers
2026-04-02 11:21:39,564 INFO    MainThread:7140 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'train_data_path': 'data/segmentation/train_data', 'model_type': 'vit_b', 'checkpoint': 'external/MedSAM/work_dir/MedSAM/medsam_vit_b.pth', 'work_dir': 'external/MedSAM/work_dir/MedSAM', 'num_epochs': 50, 'batch_size': 2, 'num_workers': 4, 'lr': 0.0001, 'weight_decay': 0.01, 'use_lora': True, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'device': 'mps', '_wandb': {}}
2026-04-02 11:21:39,564 INFO    MainThread:7140 [wandb_init.py:init():892] starting backend
2026-04-02 11:21:39,811 INFO    MainThread:7140 [wandb_init.py:init():895] sending inform_init request
2026-04-02 11:21:39,850 INFO    MainThread:7140 [wandb_init.py:init():903] backend started and connected
2026-04-02 11:21:39,852 INFO    MainThread:7140 [wandb_init.py:init():973] updated telemetry
2026-04-02 11:21:39,873 INFO    MainThread:7140 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-04-02 11:21:40,724 INFO    MainThread:7140 [wandb_init.py:init():1042] starting run threads in backend
2026-04-02 11:21:40,756 INFO    MainThread:7140 [wandb_run.py:_console_start():2524] atexit reg
2026-04-02 11:21:40,756 INFO    MainThread:7140 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-04-02 11:21:40,756 INFO    MainThread:7140 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-04-02 11:21:40,756 INFO    MainThread:7140 [wandb_run.py:_redirect():2465] Redirects installed.
2026-04-02 11:21:40,758 INFO    MainThread:7140 [wandb_init.py:init():1082] run started, returning control to user process
2026-04-02 11:22:00,122 INFO    wandb-AsyncioManager-main:7140 [service_client.py:_forward_responses():134] Reached EOF.
2026-04-02 11:22:00,122 INFO    wandb-AsyncioManager-main:7140 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
